BoilerID,BoilerType,Capacity,ImprovementTech,LifeTime,FuelName,FuelType,Burner,SteamRate[kg/hr],SteamPressure[bara],TDS_feedWater[ppm],TDS_blowdown[ppm],FlueGasTemp[`C],O2[%],CO[ppm],CO2[%],FeedWaterRate[kg/hr],BlowdownRate[kg/hr],FeedWaterTemp[`C],FuelFlowRate_aft[kg/hr],HHV_AR[kJ/kg],???????????
11012-1001-2,fire tube,16,????????????????????,14,??????????+?????????,"Liquid,Gas",??????????????????? (Pressure Atomized) ??????????????????????????????????????????? (Pre-mix Burner) ,7846.453125,6.7,500,3200,197.6,3.4,0,9.9,9299.5,1453.046875,100.5,1363.39,17853,YES
10801-0037-2,once through,2,,4,?????????????????,Gas, ???????????????????? (Nozzle-mix burner) ,943.4782609,8.01,4,2484,127.2,4.4,10,11,945,1.52173913,85,54.51,50150,YES
10801-0037-3,once through,2,"????????????????????, Economizer",4,?????????????????,Gas, ???????????????????? (Nozzle-mix burner) ,1840.364322,8.51,4,1592,125.6,4.3,6,11,1845,4.635678392,85,106.22,50150,NO
10212-0020-1,fire tube,6,Oil Heater,21,????????? C,Liquid,??????????????????????????? (Rotary Cup)  ,790,8.5,650,7590,162.35,4.7,4.95,12.03,790,67.65480896,30.2,70.65,43031.38,NO
10722-0024-1,water tube,65,"????????????????????, Economizer",35,bagass,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,45750,20,88,679,202,15,,,0,248.96,91,15500,14983.28,NO
10722-0024-2,water tube,65,"????????????????????, Economizer",35,bagass,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,45080,21.01,88,679,198,15,,,,12157.11,91,15000,14983.28,NO
10722-0024-3,water tube,65,"????????????????????, Economizer",35,bagass,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,53167,21.01,88,679,215,15,,,,4906.19,91,20500,14983.28,NO
10722-0024-4,water tube,65,"????????????????????, Economizer",35,bagass,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,54416,20,88,679,215,15.2,,,,,91,16500,14983.28,NO
10722-0024-5,water tube,65,"????????????????????, Economizer",35,bagass,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,44750,21.01,88,679,215,14.5,,,,4045.16,91,20000,14983.28,NO
10722-0024-6,water tube,130,"????????????????????, Economizer",35,bagass,Solid,  overfeed stoker (Fixed/Inclined Grate) - Auto Feed,109583,20,88,679,208,15.5,,,,8690.45,91,45000,14983.28,YES
10212-0002-1,once through,1,,5,???????????,Liquid,??????????????????? (Pressure Atomized)  ,384.375,6.81,294,1032,237.3,6.5,33,11.28,537.5,153.125,37.8,37.5,45700,NO
10111-0003-1,water tube,10,,9,???????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,3450.439078,6.01,167,2733,238.1,12,28,8.01,3675,224.5609221,33,400,29347.50203,YES
10801-0034-1,fire tube,6,Oil Heater,14,?????????,Liquid,??????????????????? (Pressure Atomized)  ,2772.73,12,63,9470,210.14,4.18,0,12.58,2772.73,18.44582788,30,234.37,41280,NO
10801-0034-2,hybrid,10,"Economizer, ????????????????????",11,???????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,4143.33,12,39,5813.64,215.12,16.36,915.62,4.63,4143.33,27.79495634,68,849.87,21235.23996,YES
20114-1005-1,water tube,35,"Economizer, ????????????????????, Air Heater",7,??????????????????,Solid,  overfeed stoker (Traveling Grate) - Auto Feed,21265,26.1,15,670,298.9,9.4,40,13.9,21265,476.0820896,115.6,5942,12213.70236,YES
11011-0014-2,fire tube,10.96,"Economizer, ????????????????????",34,?????????,Liquid,??????????????????? (Pressure Atomized)  ,4581.412367,8.01,97,2733,188.4,3.4,5,13.24,4750,168.5876326,82,300.9,43192.79,YES
20113-0004-1,fire tube,6,"????????????????????, Economizer",16,NG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,2052.38,7.8,115.68,3504,145.5,5.02,0,9.06,1809.43,59.73597671,109.15,98.93,51802.1,YES
10793-0001-1,fire tube,12,????????????????????,16,LPG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,2750.671856,5.9,1860,8350,163.5,6.3,1,9.63,3539,788.3281437,96,189.87,50150,YES
11042-0007-1,hybrid,20,"Economizer, ????????????????????",6,?????????,Solid,  overfeed stoker (Step/pushing/dumping Grate Stoker),15400,7.4,92,2420,217,11.9,75,9.56,15200,577.8512397,137.5,2435.22,18907.08597,NO
11042-0007-2,once through,2,"Economizer, ????????????????????",5,Biogas,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,1262.157534,7.8,95,1460,181,8.91,4,6.85,1350,87.84246575,85.5,192.2,20350,YES
11042-0004-1,fire tube,6,"????????????????????, Oil Heater",26,????????? C,Liquid,??????????????????????????? (Rotary Cup)  ,2626.3838,7,79,1042,235,9.67,19.68,8.52,2841.84,215.4561996,87,197.5,43193.79,YES
11042-0004-3,fire tube,6,"????????????????????, Oil Heater",18,????????? C,Liquid,??????????????????????????? (Rotary Cup)  ,1733.2,7.88,63,945,202.39,7.2,1177.9,10.3,1857,123.8,74,130.58,43193.79,YES
23922-0009-1,water tube,16,Economizer,14,????????????,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,5600,11.5,96,1260,269.6,2.9,16,10.23,5600,426.6666667,100,301.63,51350,YES
23922-0009-2,water tube,16,Economizer,14,????????????,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,11490,11.5,86,1290,269.6,1.4,100,11.08,11490,766,100,657.24,50000,NO
10801-0038-1,hybrid,8,"????????????????????, Economizer",1,?????????? ??????,Solid,  underfeed stoker,3334,7,90.8,2710,162,13.94,668,6,3350,112.2435424,50,950,12049.059,NO
29309-1130-1,once through,2,????????????????????,2,LPG,Gas, ??????????????????????????????????????????? (Pre-mix Burner) ,321.65,8,193,1600,191.3,3.78,87.31,9.75,321.65,38.79903125,101,16.72,54906,YES
35101-1118-1,water tube,50,"Economizer, Air Heater",3,????????????????,Solid,  overfeed stoker (Step/pushing/dumping Grate Stoker),48700,56.21,0.6,40,132,5.61,47.53,,49000,735,115,16600,12114.9,YES
